Sym,Pct,Sa,La
BFIN,11.645000000000024,2,3
INT,-21.255000000000052,2,3
CROX,32.74499999999995,5,4
SGRY,137.94250000000008,5,3
FGBI,-26.190000000000012,5,2
NGS,3.185000000000059,4,2
BGS,3.299999999999997,4,2
FULT,17.900000000000077,2,3
FPI,-25.594999999999985,5,4
BFS,-16.619999999999905,2,3
OLP,6.910000000000025,4,3
RAMP,9.115000000000023,2,3
CDZI,30.245000000000005,4,3
INOV,46.27249999999995,2,3
CODA,-7.289999999999978,5,3
CVTI,6.529999999999973,5,2
DMRC,32.489999999999924,2,3
MC,-0.7549999999999955,5,4
FULC,119.6799999999999,4,3
EXPI,20.95999999999995,2,3
TCDA,9.465000000000018,2,3
HMST,24.095000000000056,4,2
STRL,15.029999999999987,4,3
DNOW,-9.31500000000004,5,4
TTGT,24.93500000000003,5,4
WSBC,-0.8500000000000512,5,3
OMI,137.28000000000014,4,2
HCC,-29.60500000000006,5,2
KALV,-0.14000000000000057,4,2
GSIT,24.974999999999994,2,3
HRTX,-5.312500000000057,5,2
HAFC,9.339999999999932,4,3
KPTI,107.52999999999997,4,2
CVLY,-9.685000000000002,2,3
NTCT,-5.6324999999999505,5,2
LVGO,-27.117500000000035,2,3
RBB,8.28999999999995,2,3
EGOV,-3.730000000000004,5,2
AKRO,56.45000000000002,4,3
AHH,19.20500000000004,2,3
CISN,21.51500000000003,5,4
OSBC,-20.080000000000013,5,2
BECN,15.955000000000055,5,3
CTT,16.225000000000023,5,4
SONA,5.184999999999931,5,3
TYPE,-15.849999999999966,5,3
VYGR,-23.915000000000006,2,3
TG,19.705,4,2
FOE,-9.334999999999951,2,3
YELP,-6.440000000000012,5,2
AAWW,2.0999999999999375,2,3
LAND,-1.9600000000000506,4,2
AVYA,27.034999999999982,4,2
SWAV,13.540000000000035,4,3
LOGC,23.46250000000009,4,3
PROS,7.030000000000044,2,3
OBNK,2.390000000000029,4,2
EFC,31.750000000000057,5,4
HALO,17.905000000000015,4,2
FG,40.17500000000001,5,2
CURO,38.160000000000025,5,2
SGA,-16.170899999999946,5,2
SHO,0.6500000000000057,2,3
CVI,-14.060000000000002,5,2
REV,21.200000000000017,5,3
ABM,-18.299999999999997,5,4
ATRA,12.730000000000018,2,3
HNI,0.8850000000000051,5,2
LZB,-4.384999999999991,2,3
HBCP,-0.2750000000000483,2,3
RAVN,2.460000000000008,5,4
PNTG,46.47500000000002,5,2
LXFR,-0.6750000000000114,5,4
WSR,-1.4299999999999784,4,2
CENT,-11.519999999999968,5,2
TWNK,-4.04249999999999,5,2
FDP,24.194999999999965,4,2
HUD,2.089999999999961,2,3
MATX,-2.3349999999999937,4,2
KRUS,14.109999999999928,4,2
ANIK,-24.52500000000002,5,2
SYNL,-21.28,4,2
AOBC,4.319999999999979,2,3
FRGI,-0.7499999999999858,5,4
CBMG,29.409999999999968,2,3
ACHN,51.53500000000008,4,3
PRMW,-1.585000000000008,4,2
CSTE,-11.295000000000044,5,3
MCBC,21.609999999999985,2,3
NMRK,18.815000000000026,5,2
OPI,1.069999999999979,2,3
TOWN,5.594999999999985,2,3
TNK,1055.6300000000008,4,3
KRO,15.524999999999963,4,2
VGR,24.589999999999947,2,3
FII,6.945000000000007,5,2
MPX,-7.1650000000000205,4,3
UFCS,30.53,2,3
UMH,-3.2749999999999346,4,3
NPTN,13.874999999999986,5,4
PGC,11.742500000000035,5,4
SYKE,16.54000000000002,5,4
CNXN,7.689999999999941,5,4
FOR,-10.174999999999983,4,2
DX,6.730000000000004,5,4
CHRS,-5.652499999999975,5,2
TTMI,-10.967500000000001,5,4
GNE,-0.20000000000005969,2,3
AAT,-3.180000000000007,4,2
ABTX,13.859999999999985,2,3
EBTC,-15.910000000000025,5,2
CUBI,13.534999999999982,4,3
STRS,7.75,2,3
POWL,10.230000000000032,5,3
